Geography,Name_Geography,Year,RPL_Themes,WeightedAvgQuintile,TotalPopulation,Condition_TotalPop
County,King County,2018,0.343,0.634212606975398,4777,3138.489
County,King County,2018,0.1095,0.822862234780884,4603,4098.9715
County,King County,2018,0.0201,0.952011638249996,2548,2496.7852
County,King County,2018,0.1303,0.822862234780884,5550,4826.835
County,King County,2018,0.5114,0.379223327034418,4468,2183.0648
County,King County,2018,0.8614,0.127658473899107,7024,973.5264
County,King County,2018,0.088,0.952011638249996,1972,1798.464
County,King County,2018,0.1545,0.822862234780884,2582,2183.081
County,King County,2018,0.5724,0.379223327034418,4854,2075.5704
County,King County,2018,0.6944,0.379223327034418,8061,2463.4416
County,King County,2018,0.0305,0.952011638249996,3052,2958.914
County,King County,2018,0.2294,0.822862234780884,2822,2174.6332
County,King County,2018,0.6147,0.379223327034418,7973,3071.9969
County,King County,2018,0.711,0.379223327034418,7963,2301.307
County,King County,2018,0.0735,0.952011638249996,2351,2178.2015
County,King County,2018,0.6958,0.379223327034418,6641,2020.1922
County,King County,2018,0.1899,0.822862234780884,2376,1924.7976
County,King County,2018,0.009,0.952011638249996,6638,6578.258
County,King County,2018,0.0769,0.952011638249996,13392,12362.1552
County,King County,2018,0.2737,0.634212606975398,2792,2027.8296
County,King County,2018,0.0312,0.952011638249996,5483,5311.9304
County,King County,2018,0.0035,0.952011638249996,6518,6495.187
County,King County,2018,0.043,0.952011638249996,6302,6031.014
County,King County,2018,0.1629,0.822862234780884,9212,7711.3652
County,King County,2018,0.3285,0.634212606975398,5867,3939.6905
County,King County,2018,0.1497,0.822862234780884,3476,2955.6428
County,King County,2018,0.0104,0.952011638249996,4066,4023.7136
County,King County,2018,0.4297,0.634212606975398,4122,2350.7766
County,King County,2018,0.5988,0.379223327034418,5823,2336.1876
County,King County,2018,0.2266,0.822862234780884,5436,4204.2024
County,King County,2018,0.0222,0.952011638249996,3616,3535.7248
County,King County,2018,0.1594,0.822862234780884,5780,4858.668
County,King County,2018,0.0444,0.952011638249996,4598,4393.8488
